STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,,,mean percipitation mm/day,inch/year,liters/(m^2 year)
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/2/09,0,",,0,0800",0,",,N",,,,,0.624096386,8.968319045,227.7951807
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/3/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/4/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/5/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/6/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/7/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/8/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/9/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/10/09,0,",,0,0800",,,,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/11/09,0,",,0,0800",,,,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/12/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/13/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/14/09,0,",,0,0800",0,",,N",,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/15/09,0,",,0,0800",,,,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/16/09,0,",,0,0800",,,,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/17/09,0,",,0,0800",,,,,,,,,
USC00040014,"ACTON ESCONDIDO CANYON, CA US",34.4938,-118.2713,863.5,9/18/09,0,",,0,0800",,,,,,,,,
