NHx-deposition	mg N/m2/year		im = 72		jm = 48		year1860			

	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
	0.08	0.08	0.32	0.39	0.47	0.78	0.88	0.6	0.17	0.09
	0.09	0.1	0.12	0.14	0.17	0.2	0.27	0.27	0.2	0.16
	0.13	0.13	0.14	0.14	0.25	0.36	0.27	0.1	0.08	0.08
	0.09	0.1	0.11	0.12	0.11	0.08	0.07	0.05	0.05	0.05
	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.06	0.06
	0.06	0.06	0.07	0.07	0.08	0.09	0.09	0.09	0.08	0.07
	0.07	0.13	0.18	0.21	0.74	0.82	0.84	0.78	0.81	0.41
	0.3	0.09	0.08	0.1	0.13	0.19	0.27	0.35	0.44	0.43
	0.3	0.18	0.13	0.14	0.58	0.5	0.58	0.58	0.36	0.34
	0.2	0.25	0.35	0.26	0.1	0.11	0.11	0.1	0.07	0.05
	0.05	0.06	0.06	0.05	0.05	0.05	0.05	0.05	0.05	0.05
	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.05	0.05	0.05
	0.05	0.05	0.06	0.06	0.06	0.07	0.07	0.07	0.09	0.08
	0.07	0.07	0.2	0.54	0.6	0.61	1.16	1.13	1.25	1.1
	0.94	0.94	1.09	1.06	1.29	1.15	1.19	0.96	0.57	0.67
	1.79	1.59	0.58	0.4	0.29	0.4	0.7	0.47	0.5	0.88
	1.18	0.85	0.82	0.91	0.91	0.7	0.47	0.5	0.13	0.12
	0.08	0.06	0.06	0.07	0.06	0.05	0.05	0.05	0.05	0.06
	0.06	0.07	0.07	0.07	0.07	0.08	0.08	0.08	0.06	0.06
	0.07	0.07	0.08	0.1	0.12	0.14	0.12	0.12	0.11	0.14
	0.18	0.13	0.12	0.09	0.09	0.57	0.71	0.91	1.73	2.09
	2.06	1.83	1.9	2.11	2.51	2.52	2.11	1.88	1.51	1.42
	1.58	1.57	1.54	1.74	1.46	2.56	2.46	2.13	2.21	2.6
	1.9	0.65	1.66	0.85	1.38	1.35	1.5	1.5	1.38	1.15
	0.98	0.6	0.34	0.48	0.33	0.43	0.55	1.1	1.39	0.82
	0.16	0.14	0.09	0.08	0.07	0.07	0.09	0.08	0.16	0.11
	0.08	0.08	0.1	0.17	0.25	0.31	0.41	0.44	0.33	0.28
	0.27	0.29	0.29	0.27	0.31	0.26	0.49	0.68	1.2	1.39
	2.86	3.14	3.31	3.09	2.74	3.15	2.87	2.96	2.61	2.34
	2.11	1.98	2.15	2.06	2.19	2.12	2.22	2.29	2.19	2.34
